,CONTROL,TUITFTE,INEXPFTE,AVGFACSAL,OPENADMP,ADM_RATE,SAT_AVG,ACTCMMID,COSTT4_A,TUITIONFEE_IN,TUITIONFEE_OUT,C150_4_NOLOANNOPELL,FTFTPCTPELL,DEBT_MDN,C100_4_POOLED,C150_4_POOLED,MEDIAN_HH_INC,POVERTY_RATE,INC_PCT_LO,INC_PCT_M1,INC_PCT_M2,INC_PCT_H1,INC_PCT_H2,PFTFAC,DEP_STAT_PCT_IND,REGION,DEBT_MDN_SUPP,UG25ABV,CDR3,CDR2,MN_EARN_WNE_INC1_P10,MN_EARN_WNE_INC2_P10,MN_EARN_WNE_INC3_P10
87,3,11035.0,2033.0,6546.0,2.0,0.732,,,31248.0,17050.0,17050.0,0.4007,0.4343,12500.0,0.3138,0.381,62877.37,8.949999809265131,0.48901938899999997,0.16377490349999999,0.1425902109,0.1044432042,0.1001722925,0.078,0.7471183479000001,6,12500,0.5772,0.055999999999999994,0.125,44000,56400,69600
93,1,7767.0,7049.0,8207.0,2.0,0.8262,,,26748.0,11564.0,25828.0,0.6146,0.3786,12577.0,0.3859,0.5369,59985.62,10.529999732971099,0.3699922058,0.17490257210000001,0.1571317225,0.1336710834,0.1643024162,0.6573,0.34185502729999995,6,12577,0.1949,0.066,0.08199999999999999,42700,44600,46800
95,2,7552.0,1963.0,6871.0,,,,,,,,,,12500.0,,,65346.8,7.17999982833862,0.3986928105,0.1869281046,0.1810457516,0.12222222220000001,0.11111111109999999,0.875,0.6496732025999999,6,12500,0.8294,0.068,0.06,40900,46800,57800
101,2,15965.0,6574.0,5286.0,2.0,0.9516,,,41957.0,31485.0,31485.0,0.3913,0.4688,14024.0,0.1428,0.4127,62739.99,8.47999954223632,0.5217391304,0.1304347826,0.1352657005,0.1014492754,0.11111111109999999,0.6935,0.5458937198,6,14024,0.3385,0.069,0.043,31200,35900,38400
107,2,11155.0,3737.0,4607.0,2.0,0.5644,1032.0,20.0,37562.0,26796.0,26796.0,0.3889,0.3816,10500.0,0.4389,0.4611,65520.64,7.19000005722046,0.4311740891,0.16599190279999998,0.1619433198,0.1012145749,0.1396761134,0.2577,0.2226720648,6,10500,0.131,0.121,0.05,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
111,1,5354.0,7704.0,7623.0,2.0,0.7933,1099.0,22.0,21301.0,9544.0,21754.0,0.8645,0.5537,13700.0,0.1691,0.3558,51732.17,10.960000038146902,0.5283068093,0.1899295591,0.1249673885,0.09157318029999999,0.0652230629,0.9709,0.4677798069,5,13700,0.3291,0.085,0.084,34800,42900,47900
112,1,18147.0,48118.0,9396.0,,,,,,,,,,14000.0,,,49718.16,10.789999961853,0.4975,0.185,0.135,0.125,0.0575,0.8453,0.6725,5,14000,0.5015,0.017,0.022000000000000002,63300,65100,84500
116,2,9961.0,12090.0,6655.0,2.0,0.4986,1195.0,25.0,38173.0,28790.0,28790.0,0.5,0.4474,13250.0,0.4682,0.5064,48616.43,10.3800001144409,0.33057851239999997,0.1432506887,0.1542699725,0.17630853989999998,0.1955922865,1.0,0.0688705234,5,13250,0.0283,0.114,0.052000000000000005,37200,45500,51700
119,1,9627.0,10629.0,9866.0,2.0,0.7747,1238.0,26.0,22750.0,9130.0,25168.0,0.7154,0.192,14596.0,0.4462,0.6355,52450.53,9.5600004196167,0.2607167955,0.1390021082,0.14040758960000002,0.1474349965,0.3124385102,0.8632,0.1437807449,5,14596,0.0858,0.049,0.049,48600,51700,57200
120,1,4113.0,7834.0,5894.0,2.0,0.4435,978.0,18.0,17689.0,8038.0,14398.0,0.4156,0.7968,12624.0,0.1025,0.2868,42634.24,18.1200008392334,0.6144721234,0.1909845789,0.09667852910000001,0.0676156584,0.030249110299999996,0.8069,0.150059312,5,12624,0.1101,0.17300000000000001,0.213,28900,31100,40200
122,1,4037.0,5681.0,6902.0,2.0,0.7721,1189.0,24.0,21375.0,8607.0,15297.0,0.5994,0.4135,15000.0,0.3021,0.4788,42159.88,13.390000343322699,0.44506601030000004,0.1841575296,0.155739539,0.11837100019999999,0.0966659208,0.7609,0.3074513314,5,15000,0.1917,0.059000000000000004,0.11199999999999999,32200,38400,45900
123,1,4725.0,4856.0,6833.0,2.0,0.9024,,,18627.0,7254.0,12678.0,0.5579999999999999,0.547,11490.0,0.2456,0.3983,43602.11,11.609999656677198,0.46524297229999995,0.1821747657,0.1629984746,0.10764872519999999,0.0819350621,1.0,0.28960557859999997,5,11490,0.1767,0.091,0.14,33300,40000,48000
128,1,5495.0,8030.0,7040.0,2.0,0.9109999999999999,1186.0,24.0,21350.0,8752.0,15275.0,0.5121,0.4229,13000.0,0.2261,0.4118,48705.91,11.229999542236301,0.420535495,0.16359616800000001,0.1584377303,0.1279783837,0.129452223,0.7806,0.1586833702,5,13000,0.10400000000000001,0.075,0.067,37900,43600,47000
129,2,9880.0,3655.0,5448.0,2.0,0.6074,1004.0,19.0,25303.0,16200.0,16200.0,0.45,0.5588,12000.0,0.1081,0.2664,50351.38,10.140000343322699,0.38770685579999997,0.1654846336,0.1867612293,0.1560283688,0.1040189125,0.2692,0.37115839240000004,5,12000,0.2671,0.098,0.08900000000000001,PrivacySuppressed,40600,PrivacySuppressed
131,2,7608.0,3963.0,4175.0,1.0,,,,20912.0,13600.0,13600.0,0.6154,0.5493,9500.0,0.1552,0.3333,43531.15,11.6000003814697,0.3594771242,0.11764705880000001,0.2679738562,0.1699346405,0.0849673203,0.5,0.11764705880000001,5,9500,0.0421,0.159,0.188,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
138,2,14806.0,9879.0,7473.0,2.0,0.7462,1222.0,26.0,29827.0,19845.0,19845.0,0.7293,0.2331,20500.0,0.4617,0.6691,61757.88,7.900000095367429,0.21413864100000002,0.12765957449999998,0.1612903226,0.2031571723,0.2937542896,0.8054,0.1194234729,5,20500,0.0363,0.038,0.028999999999999998,44300,42700,50600
