,CONTROL,TUITFTE,INEXPFTE,AVGFACSAL,OPENADMP,ADM_RATE,SAT_AVG,ACTCMMID,COSTT4_A,TUITIONFEE_IN,TUITIONFEE_OUT,C150_4_NOLOANNOPELL,FTFTPCTPELL,DEBT_MDN,C100_4_POOLED,C150_4_POOLED,MEDIAN_HH_INC,POVERTY_RATE,INC_PCT_LO,INC_PCT_M1,INC_PCT_M2,INC_PCT_H1,INC_PCT_H2,PFTFAC,DEP_STAT_PCT_IND,REGION,DEBT_MDN_SUPP,UG25ABV,CDR3,CDR2,MN_EARN_WNE_INC1_P10,MN_EARN_WNE_INC2_P10,MN_EARN_WNE_INC3_P10
2600,2,13103.0,9670.0,6742.0,2.0,0.7308,1111.0,22.0,42734.0,31000.0,31000.0,0.6197,0.4357,19500.0,0.3917,0.4936,61648.4,5.940000057220451,0.22291021670000002,0.11764705880000001,0.20123839010000003,0.21052631579999997,0.2476780186,0.6148,0.0386996904,3,19500,0.0209,0.08800000000000001,0.053,35100,44700,50100
2601,2,16145.0,11215.0,6223.0,2.0,0.5761,1090.0,22.0,46975.0,36358.0,36358.0,0.6812,0.5969,22500.0,0.5124,0.5686,63946.73,6.6399998664855895,0.347826087,0.1600790514,0.2015810277,0.162055336,0.128458498,0.8857,0.2193675889,3,22500,0.1356,0.078,0.068,45100,47400,47400
2607,2,15430.0,10692.0,9034.0,2.0,0.8325,1209.0,25.0,54358.0,41340.0,41340.0,0.7878,0.2011,23250.0,0.7025,0.7771,68368.11,5.73000001907348,0.1826599327,0.0883838384,0.1026936027,0.1826599327,0.4436026936,1.0,0.052188552199999995,3,23250,0.0206,0.038,0.027000000000000003,52700,57900,64000
2616,1,9849.0,6718.0,9143.0,2.0,0.8535,1131.0,23.0,23751.0,10312.0,19014.0,0.6867,0.3089,17470.0,0.3569,0.5866,59479.84,6.920000076293941,0.3196385123,0.1515467501,0.1655891554,0.173096976,0.19012860620000002,0.5743,0.19026763989999998,3,17470,0.1101,0.092,0.11800000000000001,36400,43200,46400
2618,2,30723.0,23503.0,8767.0,2.0,0.3583,1395.0,31.0,69230.0,55930.0,55930.0,0.8768,0.0927,16000.0,0.8596,0.8882,77995.25,5.610000133514401,0.11235955060000001,0.0898876404,0.12640449439999998,0.1460674157,0.5252808989,0.9607,,3,16000,0.0066,0.005,0.026000000000000002,PrivacySuppressed,PrivacySuppressed,56800
2619,2,12903.0,9600.0,7489.0,2.0,0.2663,1125.0,22.0,23138.0,12960.0,12960.0,0.4444,0.375,21750.0,0.3083,0.4337,63286.25,5.73000001907348,0.338658147,0.1501597444,0.19488817890000001,0.1884984026,0.1277955272,0.6737,0.4856230032,3,21750,0.462,0.022000000000000002,0.06,54100,69800,56400
2620,2,11579.0,5971.0,6418.0,2.0,0.65,1042.0,20.0,43169.0,31422.0,31422.0,0.6027,0.484,15250.0,0.3631,0.4813,63624.4,6.110000133514401,0.3,0.1511111111,0.1711111111,0.16222222220000002,0.21555555559999998,0.4393,0.10444444439999999,3,15250,0.0785,0.08,0.06,37500,39600,43200
2627,2,12665.0,7956.0,5645.0,2.0,0.8946,1069.0,21.0,33106.0,22480.0,22480.0,0.4068,0.5261,21348.0,0.18600000000000003,0.3387,59351.8,8.60999965667724,0.36278195490000004,0.1390977444,0.1296992481,0.1503759398,0.21804511280000002,0.2963,0.23308270679999998,3,21348,0.2155,0.11599999999999999,0.111,33200,44600,50600
2628,2,11545.0,6723.0,6551.0,2.0,0.6969,1110.0,22.0,41887.0,30860.0,30860.0,0.7108,0.4597,15703.0,0.429,0.5303,58701.03,6.539999961853019,0.2672998643,0.1383989145,0.21031207600000001,0.1953867028,0.1886024423,0.4873,0.22659430120000001,3,15703,0.132,0.057,0.038,38500,50300,50300
2629,2,16544.0,14128.0,7420.0,2.0,0.6903,1137.0,23.0,49170.0,36040.0,36040.0,0.6413,0.3456,23322.0,0.4655,0.5743,58715.65,7.48000001907348,0.24597701149999998,0.1218390805,0.1471264368,0.18390804600000002,0.3011494253,1.0,0.045977011500000005,3,23322,0.0582,0.035,0.043,48900,57400,60800
2634,1,6652.0,6085.0,7127.0,1.0,,,,13327.0,5880.0,16472.0,0.413,0.4114,15750.0,0.0978,0.2663,72182.76,5.070000171661371,0.23688311690000002,0.10718614720000001,0.11792207789999999,0.156017316,0.381991342,1.0,0.1272727273,3,15750,0.2335,0.07400000000000001,0.091,41500,51400,61800
2635,1,9027.0,6532.0,7507.0,1.0,,,,15203.0,5880.0,16472.0,0.4711,0.4312,15750.0,0.1119,0.2601,72182.76,5.070000171661371,0.23688311690000002,0.10718614720000001,0.11792207789999999,0.156017316,0.381991342,1.0,0.1272727273,3,15750,0.1875,0.07400000000000001,0.091,41500,51400,61800
2636,1,18359.0,11259.0,9534.0,2.0,0.7455,1297.0,28.0,31811.0,15380.0,34896.0,0.8328,0.1179,15750.0,0.6744,0.7959999999999999,72182.76,5.070000171661371,0.23688311690000002,0.10718614720000001,0.11792207789999999,0.156017316,0.381991342,1.0,0.1272727273,3,15750,0.0174,0.07400000000000001,0.091,41500,51400,61800
2639,2,16478.0,8850.0,7873.0,2.0,0.7818,1070.0,21.0,22014.0,13907.0,13907.0,0.7692,0.3733,21500.0,0.5828,0.6994,68565.22,6.26999998092651,0.29466357309999996,0.1415313225,0.15777262179999998,0.1879350348,0.2180974478,0.5082,0.3642691415,3,21500,0.3273,0.037000000000000005,0.021,55700,59700,58400
2640,2,13780.0,9469.0,7292.0,2.0,0.9641,1132.0,23.0,41620.0,30860.0,30860.0,0.6871,0.3625,20500.0,0.5423,0.6277,61044.98,5.84000015258789,0.1890067502,0.1195756991,0.17936354870000001,0.22275795559999997,0.2892960463,1.0,0.019286403100000002,3,20500,0.0153,0.059000000000000004,0.042,44800,46300,51100
2641,2,11240.0,7103.0,6242.0,2.0,0.7575,1130.0,23.0,40379.0,29244.0,29244.0,0.5696,0.3732,18719.0,0.532,0.6124,60597.42,6.57999992370605,0.2686414709,0.1491317671,0.21450459649999998,0.21961184879999998,0.1481103166,0.9167,0.3207354443,3,18719,0.2221,0.057,0.05,41900,46400,55900
2642,2,16239.0,8253.0,6598.0,2.0,0.6032,1122.0,23.0,37036.0,30100.0,30100.0,0.6,0.4529,19500.0,0.42200000000000004,0.5692,64120.45,6.38000011444091,0.32365145230000003,0.1479944675,0.1659751037,0.17980636239999997,0.1825726141,0.9739,0.2295988935,3,19500,0.1396,0.077,0.065,39500,49600,44600
2644,2,11316.0,9664.0,10296.0,2.0,0.7218,1102.0,22.0,40533.0,28266.0,28266.0,0.5764,0.5039,19288.0,0.3511,0.4976,57566.05,7.599999904632571,0.30887573960000003,0.1704142012,0.1940828402,0.1810650888,0.1455621302,1.0,0.201183432,3,19288,0.1142,0.099,0.038,33300,45300,46600
2650,2,12656.0,5116.0,5333.0,2.0,0.8965,994.0,19.0,42206.0,30160.0,30160.0,0.54,0.5611,16750.0,0.2754,0.3938,60228.48,8.21000003814697,0.34315789469999997,0.18421052629999998,0.1673684211,0.1463157895,0.1589473684,0.9179999999999999,0.24421052629999998,3,16750,0.1711,0.09,0.057,39100,46700,44700
2653,2,30337.0,29472.0,9466.0,2.0,0.3621,1383.0,30.0,71330.0,55052.0,55052.0,0.88,0.0855,21215.0,0.7502,0.8622,76190.1,6.400000095367429,0.1024,0.10400000000000001,0.1152,0.16,0.5184,0.9264,,3,21215,0.0032,0.02,0.013000000000000001,46200,48100,44200
2655,2,12829.0,5952.0,7035.0,2.0,0.7535,1096.0,22.0,42156.0,31080.0,31080.0,0.6567,0.5314,17875.0,0.3902,0.4878,65362.52,7.300000190734861,0.3042212518,0.16448326060000001,0.15138282390000002,0.1819505095,0.1979621543,0.9844,0.2620087336,3,17875,0.2566,0.061,0.051,36600,47400,55300
2656,2,16291.0,13259.0,8789.0,2.0,0.6829999999999999,1202.0,25.0,46118.0,32260.0,32260.0,0.7919,0.3063,21625.0,0.5512,0.7381,63536.16,5.7399997711181605,0.17083333329999997,0.1010416667,0.165625,0.26145833329999996,0.30104166670000004,0.8628,0.0552083333,3,21625,0.0212,0.037000000000000005,0.009000000000000001,62100,65700,77600
2658,1,6638.0,8460.0,9582.0,1.0,,,,17058.0,7644.0,27660.0,0.568,0.4063,14750.0,0.1821,0.3851,65208.79,6.51000022888183,0.2722814241,0.1281787358,0.1388956164,0.1747396464,0.28590457739999997,0.4125,0.1238798741,3,14750,0.1251,0.045,0.049,49900,50300,57700
2666,1,15164.0,14779.0,12390.0,2.0,0.5197,1359.0,30.0,26555.0,10726.0,30742.0,0.8664,0.1733,14750.0,0.5870000000000001,0.8308,65208.79,6.51000022888183,0.2722814241,0.1281787358,0.1388956164,0.1747396464,0.28590457739999997,0.6625,0.1238798741,3,14750,0.0741,0.045,0.049,49900,50300,57700
2671,1,11399.0,9847.0,9082.0,2.0,0.7829999999999999,1170.0,24.0,27705.0,12192.0,21656.0,0.7005,0.2753,14000.0,0.4487,0.6421,59563.35,7.82000017166137,0.269727084,0.1377929398,0.18733313559999998,0.1834767131,0.22167012760000002,0.7942,0.29553544940000004,3,14000,0.2397,0.075,0.105,35700,44400,52100
2675,2,12634.0,16019.0,8672.0,2.0,0.6899,,,59709.0,45760.0,45760.0,0.7227,0.3996,21000.0,0.6157,0.6843,77246.29,5.320000171661371,0.23385939739999997,0.1334289813,0.1535150646,0.2022955524,0.2769010043,0.5055,0.0286944046,3,21000,0.0122,0.028999999999999998,0.04,50700,49200,52900
2676,2,14994.0,10572.0,7419.0,2.0,0.8102,1191.0,24.0,44497.0,31874.0,31874.0,0.6932,0.3151,20791.0,0.526,0.6292,67882.0,5.78000020980835,0.21875,0.1204044118,0.1452205882,0.21047794120000002,0.3051470588,0.4985,0.078125,3,20791,0.0512,0.04,0.034,42800,43300,50400
2681,2,22384.0,21316.0,4991.0,2.0,0.8333,,,39742.0,22300.0,22300.0,0.2,0.4545,,0.3714,0.3714,56364.42,8.01000022888183,,,,,,1.0,,3,PrivacySuppressed,0.2333,0.0,0.0,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
2684,2,9641.0,15884.0,2769.0,2.0,0.84,,,17900.0,13100.0,13100.0,0.4444,0.3333,,0.2917,0.3333,60972.72,11.2600002288818,,,,,,0.8571,,3,PrivacySuppressed,0.1081,,0.0,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
2689,1,6158.0,7103.0,6772.0,1.0,,,,17331.0,8556.0,14714.0,0.5329999999999999,0.4693,12250.0,0.1413,0.3081,43961.17,13.3500003814697,0.4452021432,0.1378470531,0.15538236730000002,0.15343399900000002,0.1081344374,0.4448,0.1924013639,3,12250,0.1453,0.163,0.16399999999999998,33100,37600,45300
2694,2,15451.0,8049.0,7938.0,2.0,0.7709999999999999,1195.0,25.0,37257.0,27630.0,27630.0,0.7586,0.2316,20500.0,0.6856,0.773,66586.04,6.67999982833862,0.1256157635,0.092364532,0.1699507389,0.2192118227,0.3928571429,1.0,0.050492610800000004,3,20500,0.0391,0.032,0.017,33000,43500,46000
2698,2,11180.0,4370.0,7055.0,2.0,0.6922,,,37030.0,25000.0,25000.0,0.4752,0.5067,18549.0,0.3145,0.2873,59678.08,6.92999982833862,0.358004827,0.16170555109999998,0.1448109413,0.1786001609,0.1568785197,1.0,0.2888173773,3,18549,0.2506,0.099,0.096,39800,47500,53600
2699,1,10533.0,13378.0,8943.0,2.0,0.9365,1145.0,23.0,23625.0,10293.0,19653.0,0.6344,0.3647,13000.0,0.23,0.4359,60626.38,7.76999998092651,0.3348409468,0.1518166742,0.1567917986,0.17186793309999998,0.18468264739999998,0.7046,0.1655359566,3,13000,0.1369,0.083,0.106,49500,52000,55700
2700,2,9940.0,2600.0,892.0,1.0,,,,,9100.0,9100.0,,,,0.4444,0.6666,44613.4,12.1800003051757,,,,,,,,3,PrivacySuppressed,0.6857,0.175,0.153,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
2703,2,17216.0,6480.0,5439.0,1.0,,,,26820.0,13256.0,13256.0,,1.0,16125.0,0.0625,0.125,59714.64,11.399999618530199,0.36883116880000005,0.1584415584,0.14285714289999998,0.1532467532,0.1766233766,0.1774,0.9649350648999999,3,16125,0.9348,0.055,0.045,34900,49200,82700
2706,2,5014.0,2376.0,5001.0,2.0,0.9942,1106.0,23.0,37118.0,23700.0,23700.0,0.3889,0.475,,0.1718,0.2236,58418.76,7.44999980926513,0.3421052632,0.1466165414,0.19924812030000003,0.1804511278,0.1315789474,0.1527,0.1766917293,3,,0.1512,,0.081,35700,40100,43900
2707,2,18255.0,12522.0,6000.0,2.0,0.9034,1102.0,22.0,43052.0,32390.0,32390.0,0.5,0.4872,22500.0,0.3133,0.4819,60856.87,8.07999992370605,0.3973333333,0.1626666667,0.1413333333,0.1546666667,0.14400000000000002,0.3506,0.3413333333,3,22500,0.3398,0.046,0.036000000000000004,45500,51000,55100
2709,2,12313.0,7911.0,6034.0,2.0,0.778,1128.0,23.0,41383.0,29980.0,29980.0,0.8201,0.3658,22249.0,0.4324,0.5984,58552.19,6.550000190734861,0.2418367347,0.1255102041,0.1785714286,0.2336734694,0.2204081633,0.993,0.162244898,3,22249,0.1518,0.04,0.055999999999999994,41800,47900,51400
2711,2,16692.0,12138.0,4982.0,2.0,0.6737,862.0,17.0,23450.0,13250.0,13250.0,0.0,0.8547,9500.0,0.0803,0.2169,51716.09,14.0900001525878,0.7158081705,0.1580817052,0.0710479574,,,0.2987,0.2806394316,3,9500,0.1888,0.24600000000000002,0.11800000000000001,35100,39900,42700
2712,2,10755.0,5775.0,5640.0,2.0,0.8459,1060.0,21.0,37098.0,25675.0,25675.0,0.5870000000000001,0.456,16372.0,0.4929,0.5336,60793.02,6.849999904632571,0.2528409091,0.15198863640000002,0.2002840909,0.21448863640000002,0.1803977273,0.6,0.12926136359999998,3,16372,0.1121,0.055,0.055999999999999994,36100,42300,44600
2714,2,13842.0,10044.0,7209.0,2.0,0.7373,,,50692.0,39500.0,39500.0,0.7,0.4082,19410.0,0.5859,0.6445,69671.29,5.420000076293941,0.2563829787,0.1127659574,0.1468085106,0.21489361699999998,0.2691489362,0.6821,0.064893617,3,19410,0.0334,0.055,0.040999999999999995,43500,45200,52100
2715,2,18550.0,14783.0,8257.0,2.0,0.5418,1275.0,28.0,61900.0,50250.0,50250.0,0.7464,0.1866,21000.0,0.718,0.7566,69911.54,5.900000095367429,0.1426229508,0.09180327869999999,0.1590163934,0.2163934426,0.39016393439999997,0.8361,,3,21000,0.0035,0.027000000000000003,0.059000000000000004,50100,50000,54500
2716,1,10588.0,10814.0,9531.0,2.0,0.9490000000000001,1100.0,22.0,20652.0,9254.0,18398.0,0.5139,0.38,14000.0,0.1909,0.3742,61970.64,6.550000190734861,0.3590655155,0.1511765702,0.165735568,0.1640426612,0.1599796851,0.9655,0.2126290841,3,14000,0.1741,0.086,0.065,47000,44900,46400
2717,1,5782.0,4792.0,10070.0,2.0,0.9944,1064.0,21.0,13595.0,6194.0,15338.0,0.5106,0.3568,14000.0,0.2353,0.4291,61970.64,6.550000190734861,0.3590655155,0.1511765702,0.165735568,0.1640426612,0.1599796851,0.963,0.2126290841,3,14000,0.1041,0.086,0.065,47000,44900,46400
2718,2,18013.0,10996.0,8853.0,2.0,0.7379,1198.0,25.0,52380.0,38530.0,38530.0,0.7694,0.1671,21500.0,0.6362,0.7115,68472.8,6.46999979019165,0.1517027864,0.106501548,0.1263157895,0.1752321981,0.440247678,0.5019,0.0978328173,3,21500,0.0609,0.052000000000000005,0.027000000000000003,49400,58300,60100
2719,1,7355.0,7210.0,8197.0,2.0,0.6877,1083.0,21.0,17965.0,8967.0,9327.0,0.5707,0.4305,17250.0,0.1338,0.3542,51307.51,9.199999809265131,0.38355555560000004,0.152,0.18,0.16511111109999999,0.1193333333,1.0,0.1595555556,3,17250,0.1607,0.11800000000000001,0.141,34500,42200,45200
2720,2,8680.0,3828.0,4192.0,2.0,0.1524,914.0,17.0,32800.0,17700.0,17700.0,0.08,0.6269,9500.0,0.0449,0.1215,44521.89,14.1800003051757,0.5931198102,0.1589561091,0.1126927639,0.0794780546,0.0557532622,1.0,0.22775800710000002,6,9500,0.1617,0.13,0.198,32500,38600,44700
2721,2,12661.0,6567.0,5902.0,2.0,0.6773,964.0,19.0,38892.0,27136.0,27136.0,0.6409999999999999,0.46,13979.0,0.1642,0.41700000000000004,51169.37,9.26000022888183,0.27453769559999996,0.1820768137,0.19061166429999998,0.1806543385,0.17211948789999998,0.4054,0.4295874822,6,13979,0.4076,0.08800000000000001,0.05,40000,49500,65400
2722,2,12701.0,8976.0,5429.0,1.0,,,,36888.0,25234.0,25234.0,0.6279,0.4377,18750.0,0.3453,0.4445,57571.98,8.56999969482422,0.3051201672,0.197492163,0.1954022989,0.15882967609999998,0.1431556949,0.2687,0.4942528736,6,18750,0.3491,0.081,0.038,42300,54400,60300
2725,1,5387.0,7656.0,6280.0,1.0,,,,15535.0,6450.0,15870.0,0.3019,0.5257,11000.0,0.1117,0.2017,45647.3,12.859999656677198,0.5202099738,0.2020997375,0.137007874,0.0887139108,0.0519685039,0.58,0.4635170604,6,11000,0.3716,0.154,0.156,35200,40900,45400
2728,1,7624.0,8290.0,6781.0,2.0,0.7822,1105.0,22.0,23009.0,7489.0,18376.0,0.4387,0.4318,12500.0,0.1362,0.3671,54764.86,9.350000381469721,0.41910331380000004,0.18624844940000002,0.1490342017,0.1220981747,0.1235158604,1.0,0.2860180755,6,12500,0.2266,0.10099999999999999,0.09,42900,45000,47900
2730,1,5914.0,7832.0,5764.0,2.0,0.8264,1062.0,21.0,15942.0,6810.0,16020.0,0.4053,0.5242,11547.0,0.1983,0.3373,40365.08,12.899999618530199,0.41837409119999996,0.2035690681,0.1764705882,0.1037673496,0.0978189028,1.0,0.2736285525,6,11547,0.1801,0.11599999999999999,0.128,38900,44400,47000
2735,2,10568.0,3793.0,4047.0,2.0,0.505,1034.0,20.0,24834.0,15108.0,15108.0,0.4,0.5205,8316.0,0.0588,0.2353,51563.32,10.1099996566772,0.4537815126,0.1512605042,0.19747899160000001,0.1218487395,0.0756302521,0.4524,0.3025210084,6,8316,0.2434,0.125,0.16399999999999998,PrivacySuppressed,34100,PrivacySuppressed
2736,1,4271.0,6896.0,5820.0,1.0,,,,20429.0,6226.0,13586.0,0.1644,0.5704,12250.0,0.0843,0.10800000000000001,48169.64,15.0200004577636,0.5755894590999999,0.1976421637,0.1199722607,0.0651872399,0.041608876600000004,0.8293,0.1851595007,6,12250,0.1545,0.22899999999999998,0.185,29200,32900,38800
2739,1,5699.0,8528.0,6612.0,2.0,0.9754,1064.0,21.0,16625.0,6650.0,14720.0,0.475,0.5315,12212.0,0.1319,0.3347,45641.51,12.4899997711181,0.4729361959,0.18990021170000002,0.151194436,0.10644088300000001,0.0795282734,0.7046,0.4166918657,6,12212,0.3547,0.106,0.126,36900,43200,47900
2743,1,5130.0,7641.0,6336.0,2.0,0.6239,1044.0,20.0,15616.0,7471.0,14558.0,0.3798,0.4622,9258.0,0.1447,0.2856,45171.33,10.5,0.3794983642,0.18320610690000003,0.159214831,0.1624863686,0.11559432929999999,1.0,0.3020719738,6,9258,0.1787,0.10099999999999999,0.13699999999999998,37700,43600,46400
2745,2,10301.0,6918.0,6901.0,2.0,0.6476,1165.0,24.0,34418.0,22760.0,22760.0,0.6059,0.29100000000000004,17397.0,0.3779,0.5536,63431.55,7.46999979019165,0.2049861496,0.11634349029999999,0.1717451524,0.2077562327,0.2991689751,0.9813,0.09418282550000001,6,17397,0.0396,0.068,0.043,38300,40800,46800
2746,1,14716.0,51834.0,8148.0,,,,,,,,,,15892.0,,,54119.41,9.36999988555908,0.3038032687,0.1588513823,0.15564380630000002,0.1344127081,0.2472888346,0.6938,0.2320146632,6,15892,0.2964,0.048,0.04,62500,59400,63500
2747,1,5177.0,6059.0,4548.0,1.0,,,,13744.0,7930.0,8674.0,0.3333,0.5852,9500.0,0.2326,0.2101,48652.56,10.8100004196167,0.3715277778,0.17881944440000003,0.18055555559999997,0.1510416667,0.1180555556,0.6506,0.23958333329999998,6,9500,0.2197,0.134,0.09300000000000001,36500,41700,49500
2748,1,10616.0,9686.0,9060.0,2.0,0.7379,1209.0,25.0,23446.0,9019.0,24539.0,0.6898,0.2845,15000.0,0.3859,0.6162,55237.91,9.01000022888183,0.3152561724,0.1626944484,0.1477094334,0.1367204224,0.23761952329999997,0.8769,0.17082917079999999,6,15000,0.1008,0.07,0.068,50700,55400,58800
2750,2,10873.0,7865.0,6928.0,2.0,0.6431,1138.0,23.0,39383.0,28258.0,28258.0,0.5784,0.4505,13156.0,0.4637,0.5526,59289.35,8.27000045776367,0.2943071966,0.1611170784,0.19441460789999998,0.1772287863,0.17293233079999998,0.7184,0.0945220193,6,13156,0.057,0.094,0.063,40400,45800,47300
2752,2,17739.0,14325.0,7108.0,2.0,0.7618,1230.0,26.0,44858.0,31026.0,31026.0,0.6977,0.2203,18367.0,0.5123,0.6338,59190.63,9.02000045776367,0.2547945205,0.1287671233,0.17260273969999998,0.1616438356,0.28219178079999996,0.6131,0.3054794521,6,18367,0.1225,0.04,0.068,51400,53600,48100
2753,1,13551.0,11261.0,9806.0,2.0,0.7769,1249.0,26.0,28306.0,11538.0,26919.0,0.7303,0.2322,15892.0,0.4149,0.6724,59522.71,8.5,0.3038032687,0.1588513823,0.15564380630000002,0.1344127081,0.2472888346,0.8496,0.2320146632,6,15892,0.1014,0.048,0.04,62500,59400,63500
2755,2,12476.0,8126.0,7477.0,2.0,0.805,1120.0,22.0,40935.0,27728.0,27728.0,0.6809,0.3833,18500.0,0.4785,0.5678,63453.08,7.80999994277954,0.36044973539999997,0.169973545,0.16468253970000002,0.1693121693,0.1355820106,0.4653,0.2632275132,6,18500,0.1446,0.094,0.08,39600,42300,46700
2756,1,5847.0,4954.0,5271.0,1.0,,,,19320.0,7200.0,15540.0,0.2914,0.5338,9500.0,0.1444,0.188,50487.79,9.52999973297119,0.45283018869999997,0.1963284039,0.1545130036,0.1096379398,0.08669046400000001,0.455,0.3962264151,6,9500,0.284,0.11599999999999999,0.109,34000,43000,47000
2759,1,2848.0,7467.0,5687.0,2.0,0.5304,1090.0,22.0,18014.0,7200.0,17550.0,0.4928,0.4657,9329.0,0.2472,0.382,46710.02,11.3400001525878,0.4228187919,0.16107382550000002,0.1744966443,0.1431767338,0.09843400449999999,0.6282,0.2348993289,6,9329,0.1395,0.13,0.147,34000,35800,41400
2762,1,7040.0,6047.0,6815.0,2.0,0.7539,1065.0,21.0,15839.0,6750.0,15390.0,0.3946,0.5029,10250.0,0.1386,0.301,41386.98,13.8100004196167,0.4567474048,0.21730103809999998,0.1494809689,0.09757785470000001,0.0788927336,1.0,0.36885813149999996,6,10250,0.2799,0.11599999999999999,0.14800000000000002,37700,42200,48800
2763,2,10034.0,4278.0,4701.0,2.0,0.8014,997.0,19.0,21623.0,15080.0,15080.0,0.2727,0.4351,12000.0,0.2054,0.2727,50467.0,10.970000267028801,0.47149122810000005,0.1600877193,0.1513157895,0.1315789474,0.0855263158,0.3111,0.3421052632,6,12000,0.2387,0.18,0.081,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
2764,1,5672.0,7654.0,6972.0,2.0,0.9186,1085.0,21.0,19322.0,7335.0,14235.0,0.4483,0.4367,9692.0,0.1837,0.3351,44610.73,11.640000343322699,0.3720930233,0.1808258187,0.1803512103,0.1438063598,0.12292358800000001,0.9954,0.28808732800000003,6,9692,0.1869,0.09699999999999999,0.136,45400,47900,53700
2767,2,19087.0,17043.0,10564.0,2.0,0.4077,1321.0,29.0,56906.0,41509.0,41509.0,0.7851,0.2111,16000.0,0.5223,0.7147,62928.78,7.32999992370605,0.29472329469999997,0.1415701416,0.1351351351,0.1415701416,0.287001287,0.7375,0.1222651223,6,16000,0.0616,0.048,0.055999999999999994,60500,59700,61100
2780,2,14476.0,3586.0,6277.0,2.0,0.6031,1074.0,21.0,41130.0,31158.0,31158.0,0.5614,0.4055,12000.0,0.3421,0.4715,63433.53,7.63000011444091,0.3705722071,0.1702997275,0.1498637602,0.1525885559,0.1566757493,0.3359,0.4305177112,8,12000,0.2761,0.064,0.027999999999999997,43900,47600,53400
2783,1,7197.0,7013.0,7251.0,2.0,0.9813,1045.0,21.0,21270.0,8679.0,20739.0,0.4815,0.4299,14527.0,0.2113,0.3168,52895.14,8.93000030517578,0.46705286020000003,0.1462708182,0.151339609,0.1288921072,0.10644460539999999,0.6534,0.4627081825,8,14527,0.4428,0.086,0.055999999999999994,39300,45600,49300
2784,2,8688.0,4485.0,3252.0,2.0,1.0,,,24185.0,14830.0,14830.0,0.3333,0.5625,16319.0,0.1486,0.1757,55765.36,8.17000007629394,0.5593220339,,,,,,0.4406779661,8,16319,0.3023,0.096,0.106,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
2785,2,18343.0,10669.0,7688.0,2.0,0.8231,1148.0,24.0,48211.0,36020.0,36020.0,0.763,0.295,19500.0,0.6028,0.6934,65616.22,6.59000015258789,0.1990558615,0.1447678993,0.1966955153,0.2014162077,0.2580645161,0.3452,0.2265932337,8,19500,0.1245,0.023,0.04,46100,49600,53800
2788,2,24584.0,15562.0,9738.0,2.0,0.7376,,,63999.0,50934.0,50934.0,0.7641,0.2038,17480.0,0.7140000000000001,0.7764,69786.29,6.48000001907348,0.2246621622,0.1131756757,0.15202702699999998,0.1486486486,0.3614864865,0.5121,0.0337837838,8,17480,0.0138,0.011000000000000001,0.012,63400,51300,52300
2789,2,20770.0,14222.0,7058.0,2.0,0.8104,1117.0,23.0,56084.0,43302.0,43302.0,0.7179,0.2957,22026.0,0.6033,0.7133,64098.01,6.8899998664855895,0.2665520206,0.1349957008,0.1616509028,0.1779879622,0.2588134136,0.9836,0.331900258,8,22026,0.0293,0.025,0.027999999999999997,58100,61300,60600
2794,2,17387.0,13057.0,6685.0,2.0,1.0,,,36622.0,22046.0,22046.0,0.75,0.1429,,0.3235,0.5588,59323.69,8.06999969482422,,,,,,0.7838,,8,PrivacySuppressed,0.3962,,0.0,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
2796,2,10171.0,6767.0,6269.0,2.0,0.5352,,,38201.0,25900.0,25900.0,0.8333,0.4839,14988.0,0.3,0.4222,65799.0,6.76999998092651,0.4127659574,0.1787234043,0.1446808511,0.1361702128,0.12765957449999998,0.2632,0.3234042553,8,14988,0.2665,0.037000000000000005,0.037000000000000005,38100,34000,42000
2797,2,24272.0,14613.0,5983.0,,,,,,,,,,,,,,,0.4166666667,,,,,0.2061,,8,PrivacySuppressed,0.6053,0.0,0.0,,,
2798,2,10051.0,4866.0,5429.0,2.0,0.6242,1058.0,21.0,39545.0,30050.0,30050.0,0.6667,0.3922,15000.0,0.44,0.504,52696.79,8.90999984741211,0.3305084746,0.18079096050000001,0.22316384179999998,0.1271186441,0.1384180791,0.9714,0.5056497175,8,15000,0.3405,0.057,0.02,41000,42700,54300
2799,1,27683.0,76185.0,10367.0,,,,,,,,,,16625.0,,,60107.13,7.44999980926513,0.6121842496000001,0.1352154532,0.1307578009,0.0668647845,0.0549777117,0.612,0.8722139673,8,16625,0.6675,0.008,0.006999999999999999,137900,83600,79900
2800,1,7737.0,9554.0,7485.0,2.0,0.9585,1139.0,23.0,22493.0,10118.0,28668.0,0.5521,0.3168,15452.0,0.1966,0.4866,52974.7,9.42000007629394,0.4233729881,0.1658502449,0.1616515045,0.1280615815,0.1210636809,0.9036,0.489153254,8,15452,0.3112,0.031,0.03,53400,60800,60000
